Hospital ID,Hospital Name,Total Free Bed,Total Free Critical Bed (without ventilator),Total Free Critical Bed (with ventilator),Total Free Non-Critical Bed,Available Free Critical Bed (without ventilator),Available Free Critical Bed (with ventilator),Available Free Non-Critical Bed,Hospital Phone no.,Cotact Person Name,Contact Person Mobile,Liason Officer Number,Last Update Date
3000014,Mata Channan Devi Hospital,21,2,1,18,2,1,17,45582000,Dr. A C SHUKLA,9811560885,45582000,02-02-2023 19:59
3000015,Maharaja Agrasen Punjabi Bagh,30,8,1,21,-2,0,2,011-40777777,Dr. S.S. Srivastava,9958841119,8447734489,9/16/2024 11:20:46 AM
3000016,"Mai Kamli Wali Ch. Hospital Plot No.12, J-Block, Community Centre, Rajouri Garden, Delhi-27",5,1,0,4,1,0,4,011-45609999,DR SEEMA SEHGAL,1125933166,011-45609999,9/28/2023 2:19:21 PM
3000017,"National Chest Institute, Opp. A-133, Niti Bagh,Gautam Nagar, Delhi-110092",3,0,0,3,0,0,2,9212248884,Anjali Dhingra,9212248884,011-46558679,9/16/2024 9:15:26 AM
3000018,"National Heart Institute, 49, Community Centre, East of Kailash, Delhi-110065",8,3,0,5,0,0,2,9810684340,Mrs. Chandra Zadoo,9810684340,011-46600700,9/16/2024 4:28:29 PM
3000019,"Primus Super Speciality (Veeranwali International Hospital) Chander Gupta Road, Chankapuri, Delhi-110021",12,0,0,12,0,0,12,66206620,Sh. B.K Dadu,9999920206,011-66206620,2/28/2024 4:34:09 PM
3000020,"Jeevan Anmol Hospital, Mayur Vihar, Phase-I, Delhi-110091",10,1,0,9,1,0,7,011-22750380,Mr. Suresh Sharma / TASAWWAR HUSAIN,9958506848,8448277596,8/24/2024 12:49:57 PM
3000021,PUSHPAWATI SINGHANIA HOSPITAL & RESERACH INSTITUTE,20,2,2,16,0,1,13,011-30611895,Dr. Anju Wali,9582261501,9582261501,9/16/2024 9:27:14 AM
3000023,"Medeor Hospital,Qutab",10,2,0,8,2,0,8,1141222222,Dr. Rohit Gahlawat,7206733363,1141222222,4/16/2024 12:37:36 PM
3000024,"Saroj Hospital, Sector-14, Extn.Near Madhuban Chowk, Rohini, Delhi-110085",15,2,1,12,0,1,6,011-27903333,Dr. Dhiraj Malik/Mrs.Ruby Monga,9811282538,7290095340,9/14/2024 1:35:25 PM
3000025,"Shanti Mukand Hospital, 2 Institutional Area, Vikas Marg Extn. Vikas Marg, Delhi-110092",7,4,1,2,4,1,1,011-47276632,DR. SANDEEP MITTAL,1147276632,8826944780,09-06-2024 11:38
3000026,Sir Ganga Ram Hospital,58,0,12,46,0,4,-5,011-42251701,Ms Mili Sehgal 9AM-5PM/DMS 24 hours,011-42251701,011-42251054,9/16/2024 12:46:04 PM
3000027,Venu Eye Institute & Research Centre,20,0,0,20,0,0,20,9971110470,Dr Abhishek Dagar,9971110470,29251155-56,
3000028,"Bhagwati Hospital, C-5/OCF-6, Sector-13, Rohini, Delhi-110085",12,1,1,10,0,1,0,43126000,DR.NARESH PAMNANI,9811207171,7290095340,09-04-2024 11:24
3000029,Dharamshila Narayana Superspeciality Hospital,22,3,2,17,0,1,12,011-43066533,ANKIT ARORA,011-43066533,011-43066533,9/14/2024 12:58:23 PM
3000031,"Fortis Escorts Heart Institute, Okhla Road, New Delhi-110025",31,9,0,22,0,0,14,47135000,Dr. Shradha Ahluwalia,7428216004,47135000,9/16/2024 12:21:12 PM
3000032,Max Patparganj,40,10,0,30,-2,-1,6,011-43033333,KUMAR SURESH,8800913222,011-43033333,9/16/2024 4:54:10 PM
3000033,Max Saket (East),32,7,2,23,6,-1,22,26515050,MUKESH,9971153354,26515050,9/16/2024 2:04:32 PM
3000034,"Jaipur Golden Hospital,2-Institutional Area, Sector-3, Rohini, Delhi-110085",24,3,3,18,-3,3,11,011-27907000,DR RAKESH AHUJA,9205112666,8700853398,9/16/2024 8:24:36 AM
3000035,"Sri Balaji Action Medical Institute FC-34, A-4, Paschim Vihar New Delhi",28,7,2,19,-2,1,5,8376904103,AMS on duty,8376904103,011-42888888,9/13/2024 11:40:22 AM
3000037,"VIMHANS HOSPITAL,NEHRU NAGAR NEW DELHI",10,1,0,9,1,0,9,9999691507,PRAMOD TRIPATHI,9818797286,9999691507,09-10-2024 10:36
3000038,"Mool Chand Khairati Ram Trust & Hospital, Ring Road Lajpat Nagar, Delhi-110024",14,2,1,11,2,-3,8,011-42000000,Prerna negi,9953495337,9953420079,09-04-2024 10:22
3000040,AYUSHMAN HOSPITAL & HEALTH SERVICES,10,1,1,8,-1,1,7,1149495555,Dr. Anita Mor,9205481439,9312048849,9/14/2024 11:23:31 AM
3000041,MAX SUPER SPECIALTY HOSPITAL SHALIMAR BAGH,40,16,0,24,5,0,8,8448974009,Mr. Nitesh Vaish,8448974009,7678531107,9/16/2024 3:11:20 PM
3000042,Vinayak Hospital,4,1,0,3,0,0,3,011-27435600-06,Dr. Sunil Varma (MD),9810576755,9311082078,9/16/2024 9:18:09 AM
3000043,MGS Super Specialty Hospital,13,0,2,11,0,2,4,011-45111444,DR. PAWAN KHURANA,8447734489,011-45111444,09-12-2024 12:29
3000285,Janki Das Kapoor Memorial Hospital,3,1,1,3,1,1,3,1125705811,,,,
3000494,Red Cross Hospital Society Mat Welfare & Child Care Hospital,4,0,0,4,0,0,4,9971889303,Ms.HUMA KHAN (NODAL OFFICER),8383961600,22118752,
3000690,Jivodaya Hospital,5,0,0,5,0,0,5,011-40395182,Sr Deepthi S D,9990223699,1140395182,09-12-2024 10:36
3000691,Sitaram Bharti Institute of Science & Research,7,0,1,6,0,1,4,1142111111,Ms Irina Sharma,9650033827,1142111111,9/16/2024 8:40:02 AM
3000692,Guru Harkrishan Hospital,5,0,0,5,0,0,5,"11,26,34,64,72,011",PARAMJEET SINGH,9540079965,"01126346472,37",
3000693,MEDEOR HOSPITAL DWARKA,9,0,2,7,0,2,7,011-48222222,Dr. Rajiv Chandra,9650615599,011-48222222,1/30/2023 12:51:35 PM
3000694,R L K C(Metro) Hospital,10,1,0,9,0,0,5,1161316666,Kundan SIngh,9716417490,1161316666,9/13/2024 12:37:06 PM
3000700,Madhukar Rainbow Hospital,13,2,2,9,1,1,8,9100065913,Kuldeep Sharma,9100065913,,9/27/2023 9:46:42 AM
3000701,Kailash Deepak Hospital,15,2,0,13,0,0,13,1135353535,Ms. Navdeep Sharma,011-35353535,011-35353535,8/28/2024 9:02:03 AM
3000702,Shree Agarsain International Hospital,10,1,2,7,0,0,2,011-66636600,DR. DHIRAJ MALIK (M.S),9811282538,7290095340,9/16/2024 11:43:20 AM
3000703,Venkateshwar Hospital,25,6,1,18,0,0,9,48555555,Mr. Pankaj,7290072932,48555555,1/29/2024 5:42:04 PM
3000704,MD City Hospital,10,1,0,9,0,0,9,1135213270,Brij Lata,7838236624,1135213270,
3000705,Maharaja Agrasen Dwarka,7,1,0,6,-7,-7,-35,1141347700,Narendra Singh,9599918131,,
3000706,Human Care Medical Charitable Trust,20,2,1,17,0,0,14,8448288367,MR Amit rana,8448288367,9312048849,9/16/2024 4:31:44 PM
3000707,St. Stephens Hospital,50,3,1,46,1,1,42,1123957977,Dr. J.P.N. Gupta,7291977113,9810094642,9/16/2024 8:36:13 AM
3000710,HAHC Hospital,58,2,3,53,1,0,-6,7065085511,Ms Heena Khan ( NODAL OFFICER),7065085511,7701980569,9/16/2024 10:59:25 AM
